,0
0,AC Bonifacio
1,AZ Martinez
2,Adrianna So
3,Agot Isidro
4,Ai-Ai delas Alas
5,Aicelle Santos
6,Aiko Climaco
7,Aiko Melendez
8,Aira Bermudez
9,Akiko Solon
10,Aleck Bovick
11,Alessandra De Rossi
12,Alex Gonzaga
13,Alexa Ilacad
14,Alice Dixson
15,Alicia Alonzo
16,Alicia Mayer
17,Alicia Vergel
18,Alma Bella
19,Alma Moreno
20,Alodia Gosiengfiao
21,Alona Alegre
22,Alyssa Alano
23,Ama Quiambao
24,Amalia Fuentes
25,Amy Austria
26,Amy Perez
27,Ana Capri
28,Ana Roces
29,Analyn Barro
30,Andi Abaya
31,Andi Eigenmann
32,Andi Manzano
33,Andrea Brillantes
34,Andrea Del Rosario
35,Andrea Torres
36,Angel Aquino
37,Angel Guardian
38,Angel Locsin
39,Angel Satsumi
40,Angeli Bayani
41,Angeli Gonzales
42,Angeli Khang
43,Angeli Nicole Sanoy
44,Angelica Jones
45,Angelica Panganiban
46,Angelika Dela Cruz
47,Angeline Quinto
48,Angelu de Leon
49,Angie Ferro
50,Anita Linda
51,Anja Aguilar
52,Anji Salvacion
53,Ann Li (businesswoman)
54,Anna Fegi
55,Anna Larrucea
56,Anna Luna (actress)
57,Anna Marie Gutierrez
58,Annabelle Huggins
59,Annabelle Rama
60,Anne Curtis
61,Antoinette Taus
62,Ar Angel Aviles
63,Ara Mina
64,Arci Muñoz
65,Aria Clemente
66,Arianne Bautista
67,Ariella Arida
68,Aring Bautista
69,Armida Siguion-Reyna
70,Arny Ross
71,Arra San Agustin
72,Aruray
73,Ashley Ortega
74,Ashley Rivera (actress)
75,Ashley Sarmiento
76,Ashtine Olviga
77,Asia Agcaoili
78,Assunta de Rossi
79,Atang dela Rama
80,Atasha Muhlach
81,Ate Glow
82,Athena Tibi
83,Aubrey Miles
84,Aurora Sevilla
85,Ayanna Oliva
86,Ayen Munji-Laurel
87,Ayra Mariano
88,BB Gandanghari
89,Bamba (actress)
90,Bangs Garcia
91,Barbara Miguel
92,Barbara Perez
93,Barbie Forteza
94,Barbie Imperial
95,Bea Alonzo
96,Bea Binene
97,Bea Nicolas
98,Bea Rose Santiago
99,Bea Saw
100,Beatrice Gomez
101,Beauty Gonzalez
102,Bela Padilla
103,Bella Flores
104,Belle Mariano
105,Bettina Carlos
106,Beverly Salviejo
107,Beverly Vergel
108,Bianca Gonzalez
109,Bianca King
110,Bianca Manalo
111,Bianca Umali
112,Bianca de Vera
113,Bing Loyzaga
114,Bituin Escalante
115,Boots Anson-Roa
116,Brenna Garcia
117,Bubbles Paraiso
118,Cai Cortez
119,Camille Prats
120,Camille Villar
121,Candy Pangilinan
122,Caridad Sanchez
123,Carina Afable
124,Carla Abellana
125,Carla Guevara Laforteza
126,Carla Humphries
127,Carlene Aguilar
128,Carmen LoBue
129,Carmen Rosales
130,Carmen Soriano
131,Carmencita Abad
132,Carmi Martin
133,Carmina Villarroel
134,Carol Banawa
135,Cassandra Ponti
136,Cassy Legaspi
137,Catriona Gray
138,Celeste Cortesi
139,Celeste Legaspi
140,Celia Rodriguez
141,Ces Quesada
142,Chacha Cañete
143,Chai Fonacier
144,Chanda Romero
145,Chanty (singer)
146,Charee Pineda
147,Charice Pempengco
148,Charito Solis
149,Charito de Leon
150,Chariz Solomon
151,Charlene Gonzales
152,Charlie Dizon
153,Charlie Fleming (actress)
154,Charo Santos-Concio
155,Chat Silayan
156,Chelsea Manalo
157,Cherie Gil
158,Cherry Lou
159,Cherry Pie Picache
160,Cheska Garcia
161,Chichay
162,Chin Chin Gutierrez
163,Chlaui Malayao
164,Christine Jacob
165,Chx Alcala
166,Chynna Ortaleza
167,Cianne Dominguez
168,Ciara Sotto
169,Cielito del Mundo
170,Cindy Kurleto
171,Cindy Miranda
172,Claire Ruiz
173,Claire dela Fuente
174,Claudia Zobel
175,Claudine Barretto
176,Coleen Garcia
177,Coleen Perez
178,Coney Reyes
179,Cora Waddell
180,Cris Villonco
181,Cristina Aragon
182,Cristina Gonzales
183,Cristine Reyes
184,Cynthia Zamora
185,Daiana Menezes
186,Daisy Reyes
187,Daisy Romualdez
188,Danita Paner
189,Dasuri Choi
190,Dawn Zulueta
191,Delia Razon
192,Dely Atay-Atayan
193,Denise Barbacena
194,Denise Joaquin
195,Denise Laurel
196,Desiree del Valle
197,Devon Seron
198,Dexter Doria
199,Diana Zubiri
200,Dianne Medina
201,Dianne dela Fuente
202,Didith Reyes
203,Dimples Romana
204,Dina Bonnevie
205,Dionne Monsanto
206,Diva Montelaba
207,Donita Nose
208,Donita Rose
209,Donna Cariaga
210,Donna Cruz
211,Dulce (Filipino singer)
212,Eda Nolan
213,Elaine Duran
214,Elha Nympha
215,Elia Ilano
216,Elijah Alejo
217,Elise Estrada
218,Elisse Joson
219,Eliza Pineda
220,Elizabeth Cooper
221,Elizabeth Oropesa
222,Elizabeth Ramsey
223,Ella Cruz
224,Ella Guevara
225,Elle Ramirez
226,Elle Villanueva
227,Ellen Adarna
228,Emma Alegre
229,Emma Henry
230,Emmanuelle Vera
231,Empress Schuck
232,Erich Gonzales
233,Erika Padilla
234,Erin Ocampo
235,Erlinda Cortes
236,Esang de Torres
237,Etang Discher
238,Ethel Booba
239,Eugene Domingo
240,Eula Caballero
241,Eula Valdez
242,Eunice Lagusad
243,Eva Castillo
244,Eva Darren
245,Eva Eugenio
246,Evangeline Pascual
247,Faith da Silva
248,Faye Lorenzo
249,Flora Gasser
250,Frances Makil-Ignacio
251,Francesca Taruc
252,Franchesca Salcedo
253,Francine Diaz
254,Francine Prieto
255,Frencheska Farr
256,Fretzie Joan Bercede
257,Fyang
258,G. Toengi
259,Gabb Skribikin
260,Gabbi Garcia
261,Gaby dela Merced
262,Gazini Ganados
263,Gee-Ann Abrahan
264,Gelli de Belen
265,Gem Ramos
266,Geneva Cruz
267,Georgina Wilson
268,Geraldine Ecleo-Villaroman
269,Gigi De Lana
270,Gina Alajar
271,Gina Pareño
272,Gladys Guevarra
273,Gladys Reyes
274,Glaiza Herradura
275,Glaiza de Castro
276,Gloria Diaz
277,Gloria Romero (actress)
278,Gloria Sevilla
279,Glydel Mercado
280,Grace Lee
281,Gretchen Barretto
282,Gretchen Espina
283,Guila Alvarez
284,Gwen Garci
285,Gwen Zamora
286,Gwendoline Ruais
287,Halina Perez
288,Harlene Bautista
289,Hazel Ann Mendoza
290,Hazel Orencio
291,Heart Evangelista
292,Heaven Peralejo
293,Helen Gamboa
294,Helen Vela
295,Helga Krapf
296,Herlene Budol
297,Hilda Koronel
298,Hiyasmin Neri
299,Hyacinth Callado
300,Ian Galliguez
301,Iana Bernardez
302,Ice Seguerra
303,Imee Marcos
304,Imelda Papin
305,Imelda Schweighart
306,Ina Feleo
307,Ina Raymundo
308,Inday Badiday
309,Ingrid dela Paz
310,Irma Adlawan
311,Isabel Blaesi
312,Isabel Granada
313,Isabel Oli
314,Isabel Rivas
315,Isabelle Daza
316,Isabelle de Leon
317,Ivana Alawi
318,Iwa Moto
319,Iya Villania
320,Iyah Mina
321,Iza Calzado
322,Jackie Gonzaga
323,Jackie Lou Blanco
324,Jackie Rice
325,Jaclyn Jose
326,Jade Lopez
327,Jamie Rivera
328,Jan Marini
329,Jana Roxas
330,Jane Oineza
331,Jane de Leon
332,Janella Salvador
333,Janelle Jamer
334,Janelle Quintana
335,Janette McBride
336,Janice de Belen
337,Janina San Miguel
338,Janine Berdin
339,Janine Gutierrez
340,Janine Tugonon
341,Janna Dominguez
342,January Isaac
343,Jasmine Curtis-Smith
344,Jaya (singer)
345,Jaymee Joaquin
346,Jazz Ocampo
347,Jean Garcia
348,Jed Montero
349,Jef Gaitan
350,Jennica Garcia
351,Jennie Gabriel
352,Jennifer Sevilla
353,Jenny Miller
354,Jenny Syquia
355,Jennylyn Mercado
356,Jessa Zaragoza
357,Jessy Mendiola
358,Jewel Mische
359,Jhoana Marie Tan
360,Jhoanna Robles
361,Jill Yulo
362,Jillian Ward
363,Jinri Park
364,Jo Berry (actress)
365,Joanne Quintas
366,Jocelyn Oxlade
367,Jodi Sta. Maria
368,Jolina Magdangal
369,Jonalyn Viray
370,Jopay
371,Joy Viado
372,Joyce Ching
373,Joyce Jimenez
374,Juanita Angeles
375,Judy Ann Santos
376,Julia Barretto
377,Julia Clarete
378,Julia Montes
379,Julie Anne San Jose
380,Julie Vega
381,Justina David
382,Juvy Cachola
383,KC Concepcion
384,KZ Tandingan
385,K Brosas
386,Kaila Estrada
387,Kakai Bautista
388,KaladKaren
389,Kaori Oinuma
390,Karel Marquez
391,Karen Bordador
392,Karen Reyes
393,Karen delos Reyes
394,Karina Bautista
395,Karla Estrada
396,Karylle
397,Kat Alano
398,Kate Valdez
399,Kathleen Hermosa
400,Kathryn Bernardo
401,Katrina Halili
402,Katrina Velarde
403,Katy de la Cruz
404,Katya Santos
405,Kaye Abad
406,Kazel Kinouchi
407,Keanna Reeves
408,Kiara Takahashi
409,Kim Chiu
410,Kim Domingo
411,Kim Molina
412,Kim Rodriguez
413,Kim delos Santos
414,Kira Balinger
415,Kiray
416,Kisses Delavin
417,Kitchie Nadal
418,Kitkat (comedian)
419,Klarisse de Guzman
420,Klaudia Koronel
421,Klea Pineda
422,Koreen Medina
423,Kriesha Chu
424,Kris Aquino
425,Kris Bernal
426,Krista K
427,Krista Ranillo
428,Kristel Fulgar
429,Kristel Moreno
430,Kristina Paner
431,Kristine Hermosa
432,Krizza Neri
433,Krystal Reyes
434,Kuh Ledesma
435,Kylie Padilla
436,Kylie Verzosa
437,Kyline Alcantara
438,LJ Reyes
439,Lady Lee
440,Lana Jalosjos
441,Lani Mercado
442,Lani Misalucha
443,Lauren Young
444,Laurice Guillen
445,Lea Salonga
446,Leanne Bautista
447,Letty Alonzo
448,Lexi Fernandez
449,Lexi Gonzales
450,Lianne Valentin
451,Lie Reposposa
452,Liezel Lopez
453,Liezl Martinez
454,Lilet
455,Lilia Cuntapay
456,Lilia Dizon
457,Lilian Velez
458,Linda Estrella
459,Lindsay Custodio
460,Lists of Indian actors
461,Lists of Philippine actors
462,Lists of Philippine films
463,Liz Alindogan
464,Liza Diño
465,Liza Lapira
466,Liza Lorena
467,Liza Soberano
468,Loisa Andalio
469,Lolit Solis
470,Lolita Rodriguez
471,Lorna Tolentino
472,Lorraine Schuck
473,Lota Delgado
474,Lotlot de Leon
475,Lougee Basabas
476,Louise delos Reyes
477,Lovely Abella
478,Lovely Rivero
479,Lovi Poe
480,Luane Dy
481,Lucita Soriano
482,Lucy Torres
483,Luz Fernandez
484,Luz Valdez
485,Lyca Gairanod
486,Madam Auring
487,Mae Paner
488,Maey Bautista
489,Mahal (actress)
490,Maika Rivera
491,Maine Mendoza
492,Maita Sanchez
493,Maja Salvador
494,Malou de Guzman
495,Manilyn Reynes
496,Mara Lopez
497,Margaret Nales Wilson
498,Margie Moran
499,Maria Amapola Cabase
500,Maria Isabel Lopez
501,Maria Teresa Carlson
502,Marian Rivera
503,Marianne dela Riva
504,Maricar Reyes
505,Maricar de Mesa
506,Maricel Laxa
507,Maricel Morales
508,Maricel Soriano
509,Maricris Garcia
510,Mariel Pamintuan
511,Mariel Rodriguez
512,Marife Necesito
513,Marilyn Villamayor
514,Marion Aunor
515,Maris Racal
516,Marissa Delgado
517,Marita Zobel
518,Maritoni Fernandez
519,Marjorie Barretto
520,Marla Boyd
521,Marlann Flores
522,Marlene Dauden
523,Marvelous Alejo
524,Mary Jean Lastimosa
525,Mary Walter
526,Matet de Leon
527,Matimtiman Cruz
528,Matutina (actress)
529,Maui Taylor
530,Maureen Francisco
531,Maureen Larrazabal
532,Maureen Wroblewitz
533,Max Collins (actress)
534,Max Eigenmann
535,Maxene Magalona
536,Maxine Medina
537,Maybelyn dela Cruz
538,Maymay Entrata
539,Mayton Eugenio
540,Meg Imperial
541,Megan Young
542,Melai Cantiveros
543,Melanie Marquez
544,Melissa Mendez
545,Melissa Ricks
546,Melizza Jimenez
547,Mely Tagasa
548,Mercedes Cabral
549,Meryll Soriano
550,Metring David
551,Mica Javier
552,Mich Dulce
553,Michelle Dee
554,Michelle Madrigal
555,Michelle van Eimeren
556,Mickey Ferriols
557,Miho Nishida
558,Mika Salamanca
559,Mika dela Cruz
560,Mikee Cojuangco-Jaworski
561,Mikee Quintos
562,Mikha (singer)
563,Mila del Sol
564,Miles Ocampo
565,Miriam Quiambao
566,Mocha Uson
567,Moira Dela Torre
568,Mona Lisa (actress)
569,Mona Louise Rey
570,Monang Carvajal
571,Morissette (singer)
572,Mosang
573,Mutya Johanna Datul
574,Mutya Orquia
575,Mylene Dizon
576,Myrtle Sarrosa
577,Nadine Lustre
578,Nadine Samonte
579,Nancy Castiglione
580,Nanette Inventor
581,Nanette Medved
582,Nathalie Hart
583,Naty Bernardo
584,Nela Alvarez
585,Nena Cardenas
586,Nene Tamayo
587,Neri Naig
588,Nicole Dulalia
589,Nicole Uysiuseng
590,Nida Blanca
591,Nikka Valencia
592,Nikki Bacolod
593,Nikki Gil
594,Nikki Samonte
595,Nikki Valdez
596,Nina Girado
597,Nina Kodaka
