name,gender,wikipedia_url,birthdate,image_urls
AC Bonifacio,female,https://en.wikipedia.org/wiki/AC%20Bonifacio,2002-12-13,['https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/AC_Bonifacio_in_April_2025.jpg/250px-AC_Bonifacio_in_April_2025.jpg']
AJ Dee,male,https://en.wikipedia.org/wiki/AJ%20Dee,1982-07-27,[]
AJ Muhlach,male,https://en.wikipedia.org/wiki/AJ%20Muhlach,1992-05-20,[]
AJ Perez,male,https://en.wikipedia.org/wiki/AJ%20Perez,1993-02-17,"['https://upload.wikimedia.org/wikipedia/en/thumb/4/42/AJ_Perez.jpg/250px-AJ_Perez.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/AJ_Perez_tombs_CNE_01.jpg/250px-AJ_Perez_tombs_CNE_01.jpg']"
AZ Martinez,female,https://en.wikipedia.org/wiki/AZ%20Martinez,2003-03-02,[]
Aaron Agassi,male,https://en.wikipedia.org/wiki/Aaron%20Agassi,1988-03-29,"['https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Crystal_Clear_app_Login_Manager_2.png/40px-Crystal_Clear_app_Login_Manager_2.png', 'https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Exquisite-microphone.png/40px-Exquisite-microphone.png']"
Abel Estanislao,male,https://en.wikipedia.org/wiki/Abel%20Estanislao,1995-05-19,['https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Abel_Estanislao_-_Head_Shot.png/250px-Abel_Estanislao_-_Head_Shot.png']
Abra (rapper),male,https://en.wikipedia.org/wiki/Abra%20%28rapper%29,1988-12-01,['https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Abra_%28rapper%29.jpg/250px-Abra_%28rapper%29.jpg']
Ace Vergel,male,https://en.wikipedia.org/wiki/Ace%20Vergel,1954-11-20,['https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Ace_Vergel.png/250px-Ace_Vergel.png']
Adrian Alandy,male,https://en.wikipedia.org/wiki/Adrian%20Alandy,1980-02-07,[]
Adrianna So,female,https://en.wikipedia.org/wiki/Adrianna%20So,1992-05-07,[]
Aga Muhlach,male,https://en.wikipedia.org/wiki/Aga%20Muhlach,1969-08-12,['https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Aga_Muhlach_Uninvited_2024_film4.jpg/250px-Aga_Muhlach_Uninvited_2024_film4.jpg']
Agot Isidro,female,https://en.wikipedia.org/wiki/Agot%20Isidro,1966-07-20,[]
Ahron Villena,male,https://en.wikipedia.org/wiki/Ahron%20Villena,1987-03-10,['https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ahron_Villena_%282019%29.jpg/250px-Ahron_Villena_%282019%29.jpg']
Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,"['https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ai_Ai_delas_Alas_2020_%28cropped%29.jpg/250px-Ai_Ai_delas_Alas_2020_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ai_Ai_Delas_Alas_100217.jpg/250px-Ai_Ai_Delas_Alas_100217.jpg']"
Aicelle Santos,female,https://en.wikipedia.org/wiki/Aicelle%20Santos,1985-02-24,['https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aicelle_Santos_Isang_Himala_5.jpg/250px-Aicelle_Santos_Isang_Himala_5.jpg']
Aiko Climaco,female,https://en.wikipedia.org/wiki/Aiko%20Climaco,1989-08-06,[]
Aiko Melendez,female,https://en.wikipedia.org/wiki/Aiko%20Melendez,1975-12-16,"['https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Aiko_Melendez_in_2025.jpg/250px-Aiko_Melendez_in_2025.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/MOA_signing_between_Aiko_Melendez_and_FREP_Diagnostic_Lab.jpg/250px-MOA_signing_between_Aiko_Melendez_and_FREP_Diagnostic_Lab.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Councilor_Aiko_Melendez_and_Vice_President_Sara_Duterte.jpg/250px-Councilor_Aiko_Melendez_and_Vice_President_Sara_Duterte.jpg']"
Aira Bermudez,female,https://en.wikipedia.org/wiki/Aira%20Bermudez,1983-09-06,[]
Akiko Solon,female,https://en.wikipedia.org/wiki/Akiko%20Solon,1994-01-03,[]
Akira Morishita,male,https://en.wikipedia.org/wiki/Akira%20Morishita,2001-04-27,['https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/BGYO_Akira%2C_January_2023.jpg/250px-BGYO_Akira%2C_January_2023.jpg']
Al Tantay,male,https://en.wikipedia.org/wiki/Al%20Tantay,1957-03-15,[]
Albert Martinez,male,https://en.wikipedia.org/wiki/Albert%20Martinez,1961-04-19,[]
Albie Casiño,male,https://en.wikipedia.org/wiki/Albie%20Casi%C3%B1o,1993-05-14,[]
Alden Richards,male,https://en.wikipedia.org/wiki/Alden%20Richards,1992-01-02,"['https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Alden_Richards_in_Family_of_Two_2023_MMFF.png/250px-Alden_Richards_in_Family_of_Two_2023_MMFF.png', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/AldenOnlyWayIsUp.jpg/250px-AldenOnlyWayIsUp.jpg']"
Aleck Bovick,female,https://en.wikipedia.org/wiki/Aleck%20Bovick,,[]
Alessandra De Rossi,female,https://en.wikipedia.org/wiki/Alessandra%20De%20Rossi,1984-07-19,"['https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Alessandra_De_Rossi.jpg/250px-Alessandra_De_Rossi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Alessandra_De_Rossi_Firefly_Float_112.jpg/250px-Alessandra_De_Rossi_Firefly_Float_112.jpg']"
Alex Castro,male,https://en.wikipedia.org/wiki/Alex%20Castro,1985-09-27,"['https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VG_Alex_Castro_official_portrait_2025.jpg/250px-VG_Alex_Castro_official_portrait_2025.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Solemn_Dedication_of_Saint_Padre_Pio_Chapel_05.jpg/250px-Solemn_Dedication_of_Saint_Padre_Pio_Chapel_05.jpg']"
Alex Gonzaga,female,https://en.wikipedia.org/wiki/Alex%20Gonzaga,1988-01-16,['https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Alex_Gonzaga_in_2019.jpg/250px-Alex_Gonzaga_in_2019.jpg']
Alex Vincent Medina,male,https://en.wikipedia.org/wiki/Alex%20Vincent%20Medina,1986-05-26,[]
Alexa Ilacad,female,https://en.wikipedia.org/wiki/Alexa%20Ilacad,2000-02-26,[]
Alfonso Martinez (actor),male,https://en.wikipedia.org/wiki/Alfonso%20Martinez%20%28actor%29,1988-05-19,[]
Alfred Labatos,male,https://en.wikipedia.org/wiki/Alfred%20Labatos,1992-06-30,[]
Alfred Vargas,male,https://en.wikipedia.org/wiki/Alfred%20Vargas,1979-10-24,[]
Alice Dixson,female,https://en.wikipedia.org/wiki/Alice%20Dixson,1969-07-28,[]
Alicia Alonzo,female,https://en.wikipedia.org/wiki/Alicia%20Alonzo,1946-06-01,[]
Alicia Mayer,female,https://en.wikipedia.org/wiki/Alicia%20Mayer,1976-05-02,[]
Alicia Vergel,female,https://en.wikipedia.org/wiki/Alicia%20Vergel,1927-06-07,['https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Alicia_Vergel.jpg/250px-Alicia_Vergel.jpg']
Aljur Abrenica,male,https://en.wikipedia.org/wiki/Aljur%20Abrenica,1990-03-24,['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg/250px-Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg']
Allan K.,male,https://en.wikipedia.org/wiki/Allan%20K.,1958-12-13,['https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Allan_K._in_2019.png/250px-Allan_K._in_2019.png']
Allan Paule,male,https://en.wikipedia.org/wiki/Allan%20Paule,1963-12-24,['https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg/250px-Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg']
Allen Ansay,male,https://en.wikipedia.org/wiki/Allen%20Ansay,2003-11-23,[]
Allen Dizon,male,https://en.wikipedia.org/wiki/Allen%20Dizon,1977-10-03,[]
Alma Bella,female,https://en.wikipedia.org/wiki/Alma%20Bella,,[]
Alma Moreno,female,https://en.wikipedia.org/wiki/Alma%20Moreno,1959-05-25,[]
Alodia Gosiengfiao,female,https://en.wikipedia.org/wiki/Alodia%20Gosiengfiao,1988-03-09,['https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Alodia_Gosiengfiao_2013-07-04_%282%29_a.jpg/250px-Alodia_Gosiengfiao_2013-07-04_%282%29_a.jpg']
Alona Alegre,female,https://en.wikipedia.org/wiki/Alona%20Alegre,1948-01-01,['https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Alona_Alegre.png/250px-Alona_Alegre.png']
Alonzo Muhlach,male,https://en.wikipedia.org/wiki/Alonzo%20Muhlach,2010-02-19,[]
