name,gender,wikipedia_url,birthdate,image_url
AC Bonifacio,female,https://en.wikipedia.org/wiki/AC%20Bonifacio,2002-12-13,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/AC_Bonifacio_in_April_2025.jpg/250px-AC_Bonifacio_in_April_2025.jpg
AJ Perez,male,https://en.wikipedia.org/wiki/AJ%20Perez,1993-02-17,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/AJ_Perez.jpg/250px-AJ_Perez.jpg
Abel Estanislao,male,https://en.wikipedia.org/wiki/Abel%20Estanislao,1995-05-19,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Abel_Estanislao_-_Head_Shot.png/250px-Abel_Estanislao_-_Head_Shot.png
Aga Muhlach,male,https://en.wikipedia.org/wiki/Aga%20Muhlach,1969-08-12,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Aga_Muhlach_Uninvited_2024_film4.jpg/250px-Aga_Muhlach_Uninvited_2024_film4.jpg
Ahron Villena,male,https://en.wikipedia.org/wiki/Ahron%20Villena,1987-03-10,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ahron_Villena_%282019%29.jpg/250px-Ahron_Villena_%282019%29.jpg
Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ai_Ai_delas_Alas_2020_%28cropped%29.jpg/250px-Ai_Ai_delas_Alas_2020_%28cropped%29.jpg
Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ai_Ai_Delas_Alas_100217.jpg/250px-Ai_Ai_Delas_Alas_100217.jpg
Alex Castro,male,https://en.wikipedia.org/wiki/Alex%20Castro,1985-09-27,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VG_Alex_Castro_official_portrait_2025.jpg/250px-VG_Alex_Castro_official_portrait_2025.jpg
Alex Gonzaga,female,https://en.wikipedia.org/wiki/Alex%20Gonzaga,1988-01-16,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Alex_Gonzaga_in_2019.jpg/250px-Alex_Gonzaga_in_2019.jpg
Alicia Vergel,female,https://en.wikipedia.org/wiki/Alicia%20Vergel,1927-06-07,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Alicia_Vergel.jpg/250px-Alicia_Vergel.jpg
Aljur Abrenica,male,https://en.wikipedia.org/wiki/Aljur%20Abrenica,1990-03-24,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg/250px-Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg
Allan K.,male,https://en.wikipedia.org/wiki/Allan%20K.,1958-12-13,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Allan_K._in_2019.png/250px-Allan_K._in_2019.png
Allan Paule,male,https://en.wikipedia.org/wiki/Allan%20Paule,1963-12-24,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg/250px-Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg
Alodia Gosiengfiao,female,https://en.wikipedia.org/wiki/Alodia%20Gosiengfiao,1988-03-09,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Alodia_Gosiengfiao_2013-07-04_%282%29_a.jpg/250px-Alodia_Gosiengfiao_2013-07-04_%282%29_a.jpg
