name,gender,wikipedia_url,birthdate,image_url
AC Bonifacio,female,https://en.wikipedia.org/wiki/AC%20Bonifacio,2002-12-13,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/AC_Bonifacio_in_April_2025.jpg/250px-AC_Bonifacio_in_April_2025.jpg
AJ Perez,male,https://en.wikipedia.org/wiki/AJ%20Perez,1993-02-17,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/AJ_Perez.jpg/250px-AJ_Perez.jpg
AJ Perez,male,https://en.wikipedia.org/wiki/AJ%20Perez,1993-02-17,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/AJ_Perez_tombs_CNE_01.jpg/250px-AJ_Perez_tombs_CNE_01.jpg
Aaron Agassi,male,https://en.wikipedia.org/wiki/Aaron%20Agassi,1988-03-29,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Crystal_Clear_app_Login_Manager_2.png/40px-Crystal_Clear_app_Login_Manager_2.png
Aaron Agassi,male,https://en.wikipedia.org/wiki/Aaron%20Agassi,1988-03-29,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Exquisite-microphone.png/40px-Exquisite-microphone.png
Abel Estanislao,male,https://en.wikipedia.org/wiki/Abel%20Estanislao,1995-05-19,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Abel_Estanislao_-_Head_Shot.png/250px-Abel_Estanislao_-_Head_Shot.png
Abra (rapper),male,https://en.wikipedia.org/wiki/Abra%20%28rapper%29,1988-12-01,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Abra_%28rapper%29.jpg/250px-Abra_%28rapper%29.jpg
Ace Vergel,male,https://en.wikipedia.org/wiki/Ace%20Vergel,1954-11-20,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Ace_Vergel.png/250px-Ace_Vergel.png
Aga Muhlach,male,https://en.wikipedia.org/wiki/Aga%20Muhlach,1969-08-12,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Aga_Muhlach_Uninvited_2024_film4.jpg/250px-Aga_Muhlach_Uninvited_2024_film4.jpg
Ahron Villena,male,https://en.wikipedia.org/wiki/Ahron%20Villena,1987-03-10,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ahron_Villena_%282019%29.jpg/250px-Ahron_Villena_%282019%29.jpg
Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ai_Ai_delas_Alas_2020_%28cropped%29.jpg/250px-Ai_Ai_delas_Alas_2020_%28cropped%29.jpg
Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ai_Ai_Delas_Alas_100217.jpg/250px-Ai_Ai_Delas_Alas_100217.jpg
Aicelle Santos,female,https://en.wikipedia.org/wiki/Aicelle%20Santos,1985-02-24,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aicelle_Santos_Isang_Himala_5.jpg/250px-Aicelle_Santos_Isang_Himala_5.jpg
Aiko Melendez,female,https://en.wikipedia.org/wiki/Aiko%20Melendez,1975-12-16,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Aiko_Melendez_in_2025.jpg/250px-Aiko_Melendez_in_2025.jpg
Aiko Melendez,female,https://en.wikipedia.org/wiki/Aiko%20Melendez,1975-12-16,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/MOA_signing_between_Aiko_Melendez_and_FREP_Diagnostic_Lab.jpg/250px-MOA_signing_between_Aiko_Melendez_and_FREP_Diagnostic_Lab.jpg
