,Unnamed: 0,name,gender,wikipedia_url,birthdate,image_url,path,timestamp
0,2,Abel Estanislao,male,https://en.wikipedia.org/wiki/Abel%20Estanislao,1995-05-19,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Abel_Estanislao_-_Head_Shot.png/250px-Abel_Estanislao_-_Head_Shot.png,250px-Abel_Estanislao_-_Head_Shot.png,2014-10-19 00:00:00
1,3,Aga Muhlach,male,https://en.wikipedia.org/wiki/Aga%20Muhlach,1969-08-12,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Aga_Muhlach_Uninvited_2024_film4.jpg/250px-Aga_Muhlach_Uninvited_2024_film4.jpg,250px-Aga_Muhlach_Uninvited_2024_film4.jpg,2025-03-24 00:00:00
2,4,Ahron Villena,male,https://en.wikipedia.org/wiki/Ahron%20Villena,1987-03-10,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Ahron_Villena_%282019%29.jpg/250px-Ahron_Villena_%282019%29.jpg,250px-Ahron_Villena_%282019%29.jpg,2019-07-19 00:00:00
3,5,Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Ai_Ai_delas_Alas_2020_%28cropped%29.jpg/250px-Ai_Ai_delas_Alas_2020_%28cropped%29.jpg,250px-Ai_Ai_delas_Alas_2020_%28cropped%29.jpg,2020-01-14 00:00:00
4,6,Ai-Ai delas Alas,female,https://en.wikipedia.org/wiki/Ai-Ai%20delas%20Alas,1964-11-11,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ai_Ai_Delas_Alas_100217.jpg/250px-Ai_Ai_Delas_Alas_100217.jpg,250px-Ai_Ai_Delas_Alas_100217.jpg,2017-10-02 00:00:00
5,7,Alex Castro,male,https://en.wikipedia.org/wiki/Alex%20Castro,1985-09-27,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VG_Alex_Castro_official_portrait_2025.jpg/250px-VG_Alex_Castro_official_portrait_2025.jpg,250px-VG_Alex_Castro_official_portrait_2025.jpg,2025-06-29 00:00:00
6,8,Alex Gonzaga,female,https://en.wikipedia.org/wiki/Alex%20Gonzaga,1988-01-16,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Alex_Gonzaga_in_2019.jpg/250px-Alex_Gonzaga_in_2019.jpg,250px-Alex_Gonzaga_in_2019.jpg,2019-05-07 00:00:00
7,10,Aljur Abrenica,male,https://en.wikipedia.org/wiki/Aljur%20Abrenica,1990-03-24,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg/250px-Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg,250px-Aljur_Abrenica_at_SM_City_Gensan_%28P._Jones_pic%29_-_Flickr_%28cropped%29.jpg,2013-02-27 18:25:00
8,11,Allan K.,male,https://en.wikipedia.org/wiki/Allan%20K.,1958-12-13,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Allan_K._in_2019.png/250px-Allan_K._in_2019.png,250px-Allan_K._in_2019.png,2019-09-28 00:00:00
9,12,Allan Paule,male,https://en.wikipedia.org/wiki/Allan%20Paule,1963-12-24,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg/250px-Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg,250px-Floats_of_the_48th_Metro_Manila_Film_Festival_Festival_Parade_of_Stars_11_%28cropped%29.jpg,2022-12-21 15:50:35
